house_type,location,city,latitude,longitude,price,currency,numBathrooms,numBalconies,isNegotiable,priceSqFt,verificationDate,description,SecurityDeposit,Status,numBedroom,house_layout,house_size_in_sqft,price_approx_usd
Independent Floor ,Golf Links,Delhi,28.59763908,77.23332977,362262,INR,4.0,2.0,Not Negotiable,0.72,Posted 5 months ago,Itâs a 4 bhk builder floor situated in Golf Links. It has a built-up area of 5896 sqft and is available for rent at Rs. 3.62 lac per month . The house is unfurnished. It is facing east direction. It is made in way to provide a comfortable living for the residents. It is well connected to the city areas. Please contact us for more details. ," 11,82,882",Unfurnished,4,BHK,5896.0,4224.14
Independent Floor ,Golf Links,Delhi,28.59763908,77.23332977,401012,INR,4.0,2.0,Not Negotiable,0.79,Posted 5 months ago,Its four bhk builder floor in the super location of Delhi south golf links it is the super location of area road bank ATM school college all r on walking distance," 18,12,802",Unfurnished,4,BHK,5896.0,4675.98
Independent Floor ,Golf Links,Delhi,28.59763908,77.23332977,301012,INR,4.0,2.0,Not Negotiable,0.6,Posted 5 months ago,Its four bhk builder floor in the super location of Delhi south golf links it is the super location of area road bank ATM school college all r on walking distance," 18,10,202",Unfurnished,4,BHK,5891.0,3509.93
Independent Floor ,Vasant Vihar,Delhi,28.55739021,77.15714264,301011,INR,3.0,2.0,Not Negotiable,1.23,Posted 5 months ago,Its three bhk builder floor in the super location of Delhi south vasant vihar it is the super location of area road bank ATM school college all r on walking distance," 10,10,101",Unfurnished,3,BHK,2856.0,3509.92
Independent Floor ,Vasant Vihar,Delhi,28.55739021,77.15714264,312828,INR,3.0,2.0,Not Negotiable,1.28,Posted 5 months ago,Its three bhk builder floor in the super location of Delhi south vasnt vihar it is the super location road bank ATM school college all r on walking distance," 10,10,101",Unfurnished,3,BHK,2856.0,3647.71
Independent Floor ,Vasant Vihar,Delhi,28.55739021,77.15714264,401025,INR,3.0,2.0,Not Negotiable,1.64,Posted 5 months ago,Its three bhk builder floor in the super location of Delhi south vasnt vihar it is the super location of area road bank ATM school college all r on walking distance," 10,02,022",Unfurnished,3,BHK,2856.0,4676.13
Independent Floor ,Vasant Vihar,Delhi,28.55739021,77.15714264,301012,INR,3.0,2.0,Not Negotiable,1.23,Posted 5 months ago,Its three bhk builder floor in the super location of Delhi south vasnt vihar it is the super location of area road bank ATM school college all r on walking distance," 18,10,201",Unfurnished,3,BHK,2856.0,3509.93
Independent Floor ,Vasant Vihar,Delhi,28.55739021,77.15714264,392262,INR,4.0,2.0,Not Negotiable,0.88,Posted 5 months ago,Its four bhk builder floor in the super location of Delhi south vasant vihar it is the super location road bank ATM school college all r on walking distance," 10,11,002",Unfurnished,4,BHK,5211.0,4573.95
Independent Floor ,Vasant Vihar,Delhi,28.55739021,77.15714264,325641,INR,3.0,2.0,Not Negotiable,1.33,Posted 5 months ago,Its three bhk builder floor in the super location of Delhi south vasant vihar it is the super location road bank ATM school college all r on walking distance," 10,10,181",Unfurnished,3,BHK,2856.0,3797.12
Independent Floor ,Vasant Vihar,Delhi,28.55739021,77.15714264,401012,INR,3.0,2.0,Not Negotiable,1.64,Posted 5 months ago,Its three bhk builder floor in the super location of Delhi south vasant vihar it is the super location road bank ATM school college all r on walking distance," 15,49,191",Unfurnished,3,BHK,2856.0,4675.98
Villa ,Friends Colony,Delhi,28.56834984,77.27211761,410100,INR,4.0,2.0,Not Negotiable,0.81,Posted a year ago,Its four bhk villa in the super location of delhi south friends colony it is the super location road bank atm school college all. R on wwlking destance," 10,20,202",Unfurnished,4,BHK,5896.0,4781.95
Villa ,Friends Colony,Delhi,28.56834984,77.27211761,301022,INR,4.0,2.0,Not Negotiable,0.6,Posted a year ago,Its four bhk villa in the super location of delhi south friends colony it is the super lication road bank atm school college all r on wwlking destance," 10,10,202",Unfurnished,4,BHK,5896.0,3510.05
Independent Floor ,Friends Colony,Delhi,28.56834984,77.27211761,304040,INR,4.0,4.0,Not Negotiable,0.6,Posted a year ago,Its four bhk builder floor in the super location of delhi south friends colony it is the super location road bank atm school college all r on walking destancw," 10,10,205",Unfurnished,4,BHK,5896.0,3545.24
Independent Floor ,Friends Colony,Delhi,28.56834984,77.27211761,235492,INR,4.0,2.0,Not Negotiable,0.49,Posted a year ago,Its four bhk builder floor in the super location of delhi south friends colony it is tje super location road bank atm school college all r on walking destancs," 7,04,010",Unfurnished,4,BHK,5569.0,2745.94
Independent Floor ,Defence Colony,Delhi,28.57183075,77.23332977,301012,INR,4.0,2.0,Not Negotiable,0.6,Posted a year ago,"This spacious 4 bhk builder floor is available for rental and is located in the heart of Defence Colony. It is located on the 2nd floor(out of a total of 4 floor(s)). The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Please contact for more details. "," 10,12,022",Unfurnished,4,BHK,5896.0,3509.93
Independent Floor ,Defence Colony,Delhi,28.57183075,77.23332977,301011,INR,4.0,2.0,Not Negotiable,0.72,Posted a year ago,Its four bhk builder floor in the super location of delhi south defence colony it is the super location road bank atm school college all r on wlking destance," 11,10,011",Unfurnished,4,BHK,4896.0,3509.92
Independent Floor ,Defence Colony,Delhi,28.57183075,77.23332977,301020,INR,4.0,2.0,Not Negotiable,0.6,Posted a year ago,Well designed 4 bhk builder floor is available at a prime location in Defence Colony. It has area of 5896 sqft and is available at a rent of Rs. 3.01 lac. The house is unfurnished. It is east facing property. The property has 4 bathrooms and 2 balconies. It is made in way to provide a comfortable living for the residents. It is well connected to the city areas. Kindly call us for details. ," 10,10,011",Unfurnished,4,BHK,5896.0,3510.03
Independent Floor ,Defence Colony,Delhi,28.57183075,77.23332977,401015,INR,4.0,2.0,Not Negotiable,1.07,Posted a year ago,Well designed 5 bhk builder floor is available at a prime location in Defence Colony. It has an area of 4362 sqft with a carpet area of 3085 sqft . The property is available at a monthly rental of Rs. 4.01 lac . The house is unfurnished. It is on the 3rd floor of the building (total number of floors are 4). It is situated in the proximity of all the important facilities. Contact us for more details. ," 18,20,202",Unfurnished,5,BHK,4362.0,4676.01
Independent Floor ,Sunder Nagar,Delhi,28.61843681,76.96178436,301012,INR,4.0,2.0,Not Negotiable,0.6,Posted a year ago,Its four bhk builder floor in the super location of delhi south sunder nager it is the super location road bank atm school college all r on walking destance," 10,20,201",Unfurnished,4,BHK,5896.0,3509.93
Independent Floor ,Sunder Nagar,Delhi,28.61843681,76.96178436,401010,INR,4.0,2.0,Not Negotiable,0.79,Posted a year ago,Its four bhk builder floor in the super location of delhi central sunder nager it is the super location road bank atm school college all r on walking destance," 10,12,005",Unfurnished,4,BHK,5896.0,4675.96
Villa ,Defence Colony,Delhi,28.57183075,77.23332977,301011,INR,4.0,2.0,Not Negotiable,0.6,Posted a year ago,Its four bhk villa in the super location of delhi south defence colony it is the super location road bank atm school college all r on walking destance," 10,10,101",Unfurnished,4,BHK,5896.0,3509.92
Independent Floor ,Jor bagh,Delhi,28.67728996,77.15930176,401015,INR,3.0,2.0,Not Negotiable,1.64,Posted 6 months ago,Its three bhk builder floor in the super location of Delhi south jor bagh it is the super location road bank ATM school college all r on walking distance," 10,10,202",Unfurnished,3,BHK,2856.0,4676.01
Independent Floor ,Jor bagh,Delhi,28.67728996,77.15930176,301012,INR,3.0,2.0,Not Negotiable,1.23,Posted 6 months ago,Its three bhk builder floor in the super location of Delhi south jor bagh it is the super location road bank ATM school college all r on walking distance," 18,18,182",Unfurnished,3,BHK,2856.0,3509.93
Independent Floor ,Jor bagh,Delhi,28.67728996,77.15930176,301012,INR,3.0,2.0,Not Negotiable,1.23,Posted 6 months ago,Its three bhk builder floor in the super location of Delhi south jor bagh it is the super location road bank ATM school college all r on walking distance from," 18,18,282",Unfurnished,3,BHK,2856.0,3509.93
Independent Floor ,Jor bagh,Delhi,28.67728996,77.15930176,301012,INR,3.0,2.0,Not Negotiable,1.23,Posted 6 months ago,Its three bhk builder floor in the super location of Delhi south jor bagh it is the super location road bank ATM school college all r on walking distance," 10,10,202",Unfurnished,3,BHK,2856.0,3509.93
Independent Floor ,Jor bagh,Delhi,28.67728996,77.15930176,301022,INR,3.0,2.0,Not Negotiable,1.23,Posted 6 months ago,Its three bhk builder floor in the super location of Delhi south jor bagh it is the super location road bank ATM school college all r on walking distance," 18,10,201",Unfurnished,3,BHK,2856.0,3510.05
Villa ,Anand Niketan,Delhi,28.57893944,77.16504669,549191,INR,4.0,2.0,Not Negotiable,1.09,Posted 6 months ago,"Itâs a 4 bhk villa situated in Anand Niketan, Delhi. It has an area of 5896 sqft with a carpet area of 3621 sqft . The property is available at a monthly rental of Rs. 5.49 lac . It is an unfurnished property. It is east facing property. It has 4 bathrooms and 2 balconies. It is made in way to provide a comfortable living. The site is in close proximity to various civic utilities. Please contact us for more details. "," 15,49,114",Unfurnished,4,BHK,5896.0,6403.81
Villa ,Anand Niketan,Delhi,28.57893944,77.16504669,459229,INR,4.0,2.0,Not Negotiable,0.91,Posted 6 months ago,Itâs a 4 bhk villa situated in Anand Niketan. It has an area of 5896 sqft with a carpet area of 3621 sqft . The property is available at a monthly rental of Rs. 4.59 lac . It is facing northeast direction. The property has 4 bathrooms and 2 balconies. It is made in way to provide a comfortable living for the residents. The society is well connected by different modes of transportation. Contact us for more details. ," 15,41,991",Unfurnished,4,BHK,5896.0,5354.82
Villa ,Anand Niketan,Delhi,28.57893944,77.16504669,740400,INR,4.0,2.0,Not Negotiable,1.46,Posted 6 months ago,"Itâs a 4 bhk villa situated in Anand Niketan, Delhi. It has a built-up area of 5896 sqft and is available for rent at Rs. 7.40 lac per month . The house is unfurnished. Its main door is facing east direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. "," 25,41,815",Unfurnished,4,BHK,5896.0,8633.4
Independent House ,Anand Niketan,Delhi,28.57893944,77.16504669,401012,INR,4.0,2.0,Not Negotiable,0.79,Posted 6 months ago,"A spacious 4 bhk independent house is available for rental in Anand Niketan, Delhi. It has a built-up area of 5896 sqft and is available for rent at Rs. 4.01 lac per month . It is an unfurnished property. Its main door is facing east direction. The property has 4 bathrooms and 2 balconies. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Contact us for more details. "," 10,10,202",Unfurnished,4,BHK,5896.0,4675.98
Independent Floor ,Anand Niketan,Delhi,28.57893944,77.16504669,301012,INR,4.0,2.0,Not Negotiable,0.6,Posted 6 months ago,"A spacious 4 bhk builder floor is available for rental in Anand Niketan, Delhi. It has a built-up area of 5896 sqft and is available for rent at Rs. 3.01 lac per month . The house is unfurnished. It is on the 3rd floor of the building (total number of floors are 4). Its main door is facing east direction. It has 4 bathrooms and 2 balconies. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Contact us for more details. "," 18,12,801",Unfurnished,4,BHK,5896.0,3509.93
Independent Floor ,Jor bagh,Delhi,28.67728996,77.15930176,301012,INR,4.0,2.0,Not Negotiable,0.6,Posted 6 months ago,"Itâs a 4 bhk builder floor situated in Jor bagh, Delhi. It has an area of 5896 sqft with a carpet area of 3611 sqft . The property is available at a monthly rental of Rs. 3.01 lac . It is an unfurnished property. It is on 3rd floor. The building has a total of 4 floor(s). Its main door is facing east direction. The site is in close proximity to various civic utilities. If you are interested, please contact us for more details. "," 10,12,020",Unfurnished,4,BHK,5896.0,3509.93
Independent Floor ,Jor bagh,Delhi,28.67728996,77.15930176,325562,INR,4.0,2.0,Not Negotiable,0.64,Posted 6 months ago,Its four bhk builder floor in the super location of Delhi south jor bagh it is the super location road bank ATM school college all r on walking distance," 11,02,002",Unfurnished,4,BHK,5896.0,3796.2
Independent Floor ,Jor bagh,Delhi,28.67728996,77.15930176,301011,INR,4.0,2.0,Not Negotiable,0.6,Posted 6 months ago,Its four bhk builder floor in the super location of Delhi south jor bagh it is the super location road bank ATM school college all r on walking distance," 10,10,202",Unfurnished,4,BHK,5896.0,3509.92
Independent Floor ,Anand Niketan,Delhi,28.57893944,77.16504669,235596,INR,4.0,2.0,Not Negotiable,0.47,Posted 6 months ago,"A spacious 4 bhk builder floor is available for rental in Anand Niketan, Delhi. The house is unfurnished. It is on the 2nd floor of the building (total number of floors are 4). It is east facing property. It has 4 bathrooms and 2 balconies. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. If you are interested, please contact us for more details. "," 7,54,818",Unfurnished,4,BHK,5891.0,2747.15
Independent Floor ,Anand Niketan,Delhi,28.57893944,77.16504669,440105,INR,4.0,2.0,Not Negotiable,0.87,Posted 6 months ago,This spacious 4 bhk builder floor is available for rental and is located in the heart of Anand Niketan. It is an unfurnished property. It is located on the 2nd floor(out of a total of 4 floor(s)). Its main door is facing northeast direction. The property has 4 bathrooms and 2 balconies. The society is well connected by different modes of transportation. ," 10,18,282",Unfurnished,4,BHK,5896.0,5131.82
Independent Floor ,Jor bagh,Delhi,28.67728996,77.15930176,301014,INR,3.0,2.0,Not Negotiable,1.23,Posted 6 months ago,Its three bhk builder floor in the super location of Delhi south jor bagh it is the superb location road bank ATM school college all r on walking distance from," 10,12,002",Unfurnished,3,BHK,2856.0,3509.96
Independent House ,Shanti Niketan,Delhi,28.57792091,77.16937256,704404,INR,4.0,2.0,Not Negotiable,1.39,Posted 6 months ago,"Itâs a 4 bhk independent house situated in Shanti Niketan. The house is unfurnished. It is facing east direction. It has 4 bathrooms and 2 balconies. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. Please contact us for more details. "," 20,10,205",Unfurnished,4,BHK,5896.0,8213.67
Independent Floor ,Anand Niketan,Delhi,28.57893944,77.16504669,301012,INR,3.0,2.0,Not Negotiable,1.23,Posted 6 months ago,"Itâs a 3 bhk builder floor situated in Anand Niketan, Delhi. It has an area of 2856 sqft with a carpet area of 1652 sqft . The property is available at a monthly rental of Rs. 3.01 lac . The house is unfurnished. It is located on the 2nd floor(out of a total of 4 floor(s)). Its main door is facing east direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Contact us for more details. "," 10,10,220",Unfurnished,3,BHK,2856.0,3509.93
Independent Floor ,Niti Bagh,Delhi,28.55949974,77.21679688,301022,INR,4.0,2.0,Not Negotiable,0.6,Posted 5 months ago,Its four bhk builder floor in the super location of Delhi south niti bagh it is the super location road bank ATM school college all r on walking distance," 10,10,101",Unfurnished,4,BHK,5896.0,3510.05
Independent Floor ,Niti Bagh,Delhi,28.55949974,77.21679688,381012,INR,3.0,2.0,Not Negotiable,1.56,Posted 5 months ago,Its three bhk builder floor in the super location of Delhi south niti bagh it is the super location of area road bank ATM school college all r on walking distance," 10,10,220",Unfurnished,3,BHK,2856.0,4442.77
Villa ,Maharani Bagh,Delhi,28.57262039,77.26422119,401012,INR,4.0,2.0,Not Negotiable,0.79,Posted 5 months ago,"Itâs a 4 bhk villa situated in Maharani Bagh, Delhi. It has area of 5896 sqft and is available at a rent of Rs. 4.01 lac. The house is unfurnished. It is facing northeast direction. The property has 4 bathrooms and 2 balconies. It is made in way to provide a comfortable living. It is well connected to the city areas. "," 10,28,222",Unfurnished,4,BHK,5896.0,4675.98
Independent Floor ,Niti Bagh,Delhi,28.55949974,77.21679688,362621,INR,3.0,2.0,Not Negotiable,1.48,Posted 5 months ago,"Itâs a 3 bhk builder floor situated in Niti Bagh, Delhi. It has area of 2856 sqft and is available at a rent of Rs. 3.63 lac. It is an unfurnished property. Itâs on 3rd floor out of 5 floors building. Its main door is facing northeast direction. It has 3 bathrooms and 2 balconies. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Please contact us for more details. "," 10,10,110",Unfurnished,3,BHK,2856.0,4228.32
Independent Floor ,Niti Bagh,Delhi,28.55949974,77.21679688,301012,INR,3.0,2.0,Not Negotiable,1.23,Posted 5 months ago,Its three bhk builder floor in the super location of Delhi south niti bagh it is the super location road bank ATM school college all r on walking distance," 10,10,201",Unfurnished,3,BHK,2856.0,3509.93
Independent Floor ,Niti Bagh,Delhi,28.55949974,77.21679688,301012,INR,3.0,2.0,Not Negotiable,1.23,Posted 5 months ago,Its three bhk builder floor in the super location of Delhi south niti bagh it is the super location road bank ATM school college all r on walking distance from," 10,10,110",Unfurnished,3,BHK,2856.0,3509.93
Independent Floor ,Maharani Bagh,Delhi,28.57262039,77.26422119,301012,INR,4.0,2.0,Not Negotiable,0.6,Posted 5 months ago,Its four bhk builder floor in the super location of Delhi south maharani bagh it is the super location road bank ATM school college all r on walking distance," 18,18,282",Unfurnished,4,BHK,5896.0,3509.93
Independent Floor ,Maharani Bagh,Delhi,28.57262039,77.26422119,301022,INR,4.0,2.0,Not Negotiable,0.6,Posted 5 months ago,Its four bhk builder floor in the super location of Delhi south maharani bagh it is the super location road bank ATM school college all r on walking distance," 10,10,202",Unfurnished,4,BHK,5896.0,3510.05
Independent Floor ,Niti Bagh,Delhi,28.55949974,77.21679688,301012,INR,4.0,2.0,Not Negotiable,0.6,Posted 5 months ago,Its four bhk builder floor in the super location of Delhi south niti bagh it is the super location road bank ATM school college all r on walking distance," 10,10,202",Unfurnished,4,BHK,5896.0,3509.93
Independent Floor ,Niti Bagh,Delhi,28.55949974,77.21679688,301012,INR,3.0,2.0,Not Negotiable,1.23,Posted 5 months ago,Its three bhk builder floor in the super location of Delhi south niti bagh it is the super location of Delhi road bank ATM school college all r on walking distance," 10,10,202",Unfurnished,3,BHK,2856.0,3509.93
Independent Floor ,Niti Bagh,Delhi,28.55949974,77.21679688,301012,INR,3.0,2.0,Not Negotiable,1.23,Posted 5 months ago,Its three bhk builder floor in the super location of Delhi south niti bagh it is the super location of Delhi south road bank ATM school college all r on walking distance," 18,18,228",Unfurnished,3,BHK,2856.0,3509.93
Independent Floor ,Niti Bagh,Delhi,28.55949974,77.21679688,310012,INR,3.0,2.0,Not Negotiable,1.27,Posted 5 months ago,Its three bhk builder floor in the super location of Delhi south niti bagh it is the super location road bank ATM school college all r on walking distance," 10,02,828",Unfurnished,3,BHK,2856.0,3614.88
Independent Floor ,Vasant Vihar,Delhi,28.55739021,77.15714264,301012,INR,3.0,2.0,Not Negotiable,1.23,Posted 6 months ago,Its three bhk builder floor in the super location of Delhi south vasnt vihar it is the super location road bank ATM school college all r on walking distance," 18,10,202",Unfurnished,3,BHK,2856.0,3509.93
Independent Floor ,Vasant Vihar,Delhi,28.55739021,77.15714264,301012,INR,3.0,3.0,Not Negotiable,1.23,Posted 6 months ago,Its three bhk builder floor in the super location of Delhi south vasnt vihar it is the super location road bank ATM school college all r on walking distance," 18,18,201",Unfurnished,3,BHK,2856.0,3509.93
Independent Floor ,Golf Links,Delhi,28.59763908,77.23332977,401100,INR,4.0,2.0,Not Negotiable,0.79,Posted 6 months ago,Its four bhk builder floor in the super location of Delhi south golf links it is the super location road bank ATM school college all r on walking distance," 10,18,228",Unfurnished,4,BHK,5891.0,4677.01
Independent Floor ,Golf Links,Delhi,28.59763908,77.23332977,401010,INR,4.0,2.0,Not Negotiable,0.79,Posted 6 months ago,Its four bhk builder floor in the super location of Delhi south golf links it is the super location of area road bank ATM school college all r on walking distance," 10,10,202",Unfurnished,4,BHK,5896.0,4675.96
Independent Floor ,Geetanjali Enclave,Delhi,28.53087997,77.20243073,301012,INR,4.0,2.0,Not Negotiable,0.6,Posted 6 months ago,Its four bhk builder floor in the super location of Delhi south geetanjli enclave it is the super location road bank ATM school college all r on walking distance," 18,18,228",Unfurnished,4,BHK,5896.0,3509.93
Independent Floor ,Geetanjali Enclave,Delhi,28.53087997,77.20243073,362622,INR,4.0,2.0,Not Negotiable,0.72,Posted 6 months ago,Its four bhk builder floor in the super location of Delhi south geetanjli enclave it is the super location road bank ATM school college all r on walking distance," 18,10,102",Unfurnished,4,BHK,5896.0,4228.33
Independent Floor ,Geetanjali Enclave,Delhi,28.53087997,77.20243073,401012,INR,4.0,2.0,Not Negotiable,0.79,Posted 6 months ago,Its four builder floor in the super location of Delhi south geetanjli enclave it is the super location road bank ATM school college all r on walking distance," 18,12,882",Unfurnished,4,BHK,5896.0,4675.98
Independent Floor ,Sarvodaya Enclave,Delhi,28.5376606,77.20207214,401012,INR,4.0,2.0,Not Negotiable,0.79,Posted 6 months ago,Its four bhk builder floor in the super location of Delhi south sarvoday enclave it is the super location road bank ATM school college all r on walking distance," 18,18,228",Unfurnished,4,BHK,5896.0,4675.98
Independent Floor ,Sarvodaya Enclave,Delhi,28.5376606,77.20207214,301012,INR,4.0,2.0,Not Negotiable,0.6,Posted 6 months ago,This spacious 4 bhk builder floor is available for rental and is located in the heart of Sarvodaya Enclave. It has a built-up area of 5896 sqft and is available for rent at Rs. 3.01 lac per month . The house is unfurnished. It is located on the 2nd floor(out of a total of 4 floor(s)). It is facing northeast direction. It has 4 bathrooms and 2 balconies. It is made in way to provide a comfortable living. It is well connected to the city areas. Please contact us for more details. ," 10,11,002",Unfurnished,4,BHK,5896.0,3509.93
Independent House ,Geetanjali Enclave,Delhi,28.53087997,77.20243073,401012,INR,4.0,2.0,Not Negotiable,0.79,Posted 6 months ago,Well designed 4 bhk independent house is available at a prime location in Geetanjali Enclave. It has area of 5896 sqft and is available at a rent of Rs. 4.01 lac. It is an unfurnished property. It is facing east direction. The property has 4 bathrooms and 2 balconies. ," 18,12,882",Unfurnished,4,BHK,5896.0,4675.98
Villa ,Geetanjali Enclave,Delhi,28.53087997,77.20243073,549191,INR,4.0,2.0,Not Negotiable,1.09,Posted 6 months ago,Its four bhk villa in the super location of Delhi south geetanjli enclave it is the super location road bank ATM school college all r on walking distance," 15,46,165",Unfurnished,4,BHK,5896.0,6403.81
